,alpha,lambda,kl_divergence,recommendations,time
0,0.01,0.5,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel23, hotel14, hotel26177, hotel49, hotel11]",103.48472094535828
1,0.03,0.5,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel23, hotel14, hotel49, hotel26177, hotel11]",102.12055683135986
2,0.05,0.5,1.0329197607895146,"[hotel13206, hotel3438, hotel2, hotel14697, hotel23, hotel36, hotel14, hotel26177, hotel49, hotel11]",101.4388427734375
3,0.07,0.5,1.0329197607895146,"[hotel13206, hotel3438, hotel2, hotel14697, hotel23, hotel36, hotel14, hotel26177, hotel49, hotel11]",102.01099801063538
4,0.09,0.5,1.0329197607895146,"[hotel13206, hotel3438, hotel2, hotel14697, hotel23, hotel14, hotel36, hotel49, hotel26177, hotel11]",103.00025677680969
5,0.11,0.5,1.1463312666764112,"[hotel26177, hotel2, hotel91516, hotel23, hotel14697, hotel14, hotel49, hotel11, hotel36, hotel51]",97.09735369682312
6,0.13,0.5,1.3420467104029223,"[hotel26177, hotel2, hotel91516, hotel23, hotel14697, hotel14, hotel49, hotel11, hotel51, hotel35]",100.19024467468262
7,0.15,0.5,1.702672746942214,"[hotel26177, hotel2, hotel9505, hotel23, hotel14697, hotel14, hotel49, hotel11, hotel51, hotel35]",96.52294421195984
8,0.17,0.5,1.702672746942214,"[hotel26177, hotel2, hotel9505, hotel23, hotel14, hotel14697, hotel49, hotel11, hotel51, hotel35]",94.10151553153992
9,0.19,0.5,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",92.61068940162659
10,0.21,0.5,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",91.60457372665405
11,0.23,0.5,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",92.53457427024841
12,0.25,0.5,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",92.41525077819824
13,0.27,0.5,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",93.33347654342651
14,0.29,0.5,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel14, hotel9505, hotel49, hotel11, hotel51, hotel35, hotel40]",92.52662205696106
15,0.31,0.5,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel14, hotel9505, hotel49, hotel11, hotel51, hotel35, hotel40]",96.6572208404541
16,0.33,0.5,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel9505, hotel40]",90.00120329856873
17,0.35,0.5,2.9511284765225847,"[hotel26177, hotel2, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",89.91124820709229
18,0.37,0.5,2.9511284765225847,"[hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",88.65449738502502
19,0.39,0.5,2.9511284765225847,"[hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",89.6502194404602
20,0.41,0.5,2.9511284765225847,"[hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",89.63100576400757
21,0.43,0.5,2.9511284765225847,"[hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",92.10628509521484
22,0.45,0.5,2.9511284765225847,"[hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",97.2045967578888
23,0.47,0.5,2.9511284765225847,"[hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",94.96423244476318
24,0.49,0.5,2.9511284765225847,"[hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",92.37818717956543
25,0.01,0.55,0.8460054844456323,"[hotel122734, hotel3438, hotel36, hotel14697, hotel2, hotel23, hotel26177, hotel14, hotel49, hotel11]",97.99232006072998
26,0.03,0.55,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel23, hotel26177, hotel14, hotel49, hotel11]",92.12288069725037
27,0.05,0.55,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel23, hotel14, hotel26177, hotel49, hotel11]",93.89410638809204
28,0.07,0.55,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel23, hotel14, hotel26177, hotel49, hotel11]",93.28850412368774
29,0.09,0.55,1.0329197607895146,"[hotel13206, hotel3438, hotel2, hotel14697, hotel23, hotel36, hotel26177, hotel14, hotel49, hotel11]",94.51831531524658
30,0.11,0.55,1.0329197607895146,"[hotel13206, hotel3438, hotel2, hotel14697, hotel23, hotel36, hotel26177, hotel14, hotel49, hotel11]",94.36799693107605
31,0.13,0.55,1.1463312666764112,"[hotel26177, hotel2, hotel91516, hotel14697, hotel23, hotel14, hotel36, hotel49, hotel11, hotel51]",103.37364506721497
32,0.15,0.55,1.1463312666764112,"[hotel26177, hotel2, hotel91516, hotel14697, hotel23, hotel14, hotel49, hotel11, hotel36, hotel51]",97.64064598083496
33,0.17,0.55,1.3420467104029223,"[hotel26177, hotel2, hotel91516, hotel23, hotel14697, hotel14, hotel49, hotel11, hotel51, hotel35]",94.12448501586914
34,0.19,0.55,1.702672746942214,"[hotel26177, hotel2, hotel9505, hotel23, hotel14697, hotel14, hotel49, hotel11, hotel51, hotel35]",88.95116853713989
35,0.21,0.55,1.702672746942214,"[hotel26177, hotel2, hotel9505, hotel23, hotel14697, hotel14, hotel49, hotel11, hotel51, hotel35]",87.87199139595032
36,0.23,0.55,1.702672746942214,"[hotel26177, hotel2, hotel9505, hotel23, hotel14, hotel14697, hotel49, hotel11, hotel51, hotel35]",87.16595697402954
37,0.25,0.55,2.3483954396526183,"[hotel26177, hotel2, hotel9505, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",87.92538142204285
38,0.27,0.55,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",91.39261031150818
39,0.29,0.55,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",88.931405544281
40,0.31,0.55,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",86.04608750343323
41,0.33,0.55,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40]",91.51927018165588
42,0.35,0.55,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel14, hotel9505, hotel49, hotel11, hotel51, hotel35, hotel40]",88.77970099449158
43,0.37,0.55,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel14, hotel9505, hotel49, hotel11, hotel51, hotel35, hotel40]",85.78916478157043
44,0.39,0.55,2.3483954396526183,"[hotel26177, hotel2, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel9505, hotel40]",85.97506475448608
45,0.41,0.55,2.9511284765225847,"[hotel26177, hotel2, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",84.69961166381836
46,0.43,0.55,2.9511284765225847,"[hotel26177, hotel2, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",85.88131427764893
47,0.45,0.55,2.9511284765225847,"[hotel2, hotel26177, hotel23, hotel14, hotel49, hotel11, hotel51, hotel35, hotel40, hotel60]",87.58878183364868
